total_spend,num_orders,avg_order_value,days_since_last_order,num_support_tickets
502.3499894257829,5,36.20410778110266,135,1
14744.49348570822,33,384.3809915346993,1,2
6354.346550816124,84,258.865533001633,6,1
2783.610825506993,18,61.76490284735586,22,2
3785.155103512559,19,81.71957167653986,20,1
671.1241757952733,5,56.37818443748968,74,0
18456.653899288656,47,422.3459546964574,8,2
101.40859467232562,5,25.022008590506136,87,0
446.0601948803313,6,58.271992619371446,76,0
8564.563159885995,65,374.86620216133247,14,2
1895.2704592904925,26,114.66059134228601,5,0
11155.743845534445,62,407.567096526159,11,0
966.5293213666233,6,29.67726721262118,95,0
1955.1085830732095,18,104.94142384304533,19,3
579.725980521526,2,25.226093752938517,127,0
2041.959019631353,15,45.98569641559784,240,5
2966.378186965748,21,62.2035052124395,23,3
871.4613312988777,2,55.083623240727555,133,1
1000.7050446690648,17,115.39067632018215,303,7
1252.6151945857825,5,52.478469095914654,309,7
857.1049120358297,7,101.80130288635232,286,6
4474.492671822443,10,107.5163350496625,11,4
17529.53743383857,42,141.94766661299235,7,2
1385.678318043039,17,66.99842605399185,133,2
1548.179152915055,15,70.0644012676869,211,7
672.6147657864993,16,93.95197214511853,182,7
624.5261515751407,3,30.81573145538102,120,1
5308.767414437037,53,498.33255001174825,12,2
178.38349011619434,8,53.41920902968778,98,1
3159.941518863422,12,149.5480490704257,12,1
6327.387530778793,83,130.1436241409849,10,0
1520.3792271667453,16,76.38979542422945,297,6
4162.8926593558535,10,113.02087483291442,12,2
765.9137086902373,8,45.91269783962113,115,0
13968.499682166277,99,153.5408475202533,3,0
1231.3707062535855,27,141.77524891713773,24,2
4404.827656195075,22,113.79607933159701,27,2
1838.8845371991815,11,101.21282630534131,279,6
158.68413213444285,8,37.76174996808812,163,0
1177.0158200924316,19,102.07292262458448,238,7
10454.44403568941,58,136.91623449149844,8,2
8397.43662796907,78,237.1707457113041,4,2
6793.913689074526,92,346.9054848389168,8,1
4516.473230248659,23,117.00960346109417,8,4
1124.892365994053,10,50.108518505160845,297,6
2942.5173860973587,14,99.2451778607608,162,3
640.5859598935203,6,28.35530896020655,178,1
887.0715314942996,18,86.37809256777798,277,3
837.1571624754905,2,57.05530426920347,81,1
14096.43589489385,69,458.6441051896083,1,2
2096.86080939468,24,117.43038064090484,11,4
926.2688969792356,5,24.916827138615503,122,0
841.4113457991652,5,50.9168592750446,67,1
4884.232980661471,18,136.64386675276455,28,0
1482.2675431091152,29,140.13756495884445,23,2
15545.284383427668,73,228.6331058720116,5,0
1243.2269757683341,7,80.32030108770608,95,2
469.91896773899117,5,58.53996963550353,32,0
667.4340300631789,17,55.98730170255516,314,3
